,L1000 Signature ID,Drug,Up/Down,Dose,Cell line,Time point,Mean Pearson Correlation
51,AICHI001_SKMEL5_24H_K09_mitoxantrone_0.66uM down,mitoxantrone,down,0.66uM,SKMEL5,24H,0.18416192
52,ASG003_XC.P914_24H_K16_palbociclib_10uM down,palbociclib,down,10uM,XC.P914,24H,0.18390721
53,LPROT004_YAPC_6H_D08_palbociclib_0.5uM down,palbociclib,down,0.5uM,YAPC,6H,0.18361847
54,ASG003_XC.P908_24H_K17_palbociclib_1.11uM down,palbociclib,down,1.11uM,XC.P908,24H,0.18343495
55,LJP008_THP1_24H_O04_PD-0325901_0.37uM down,PD-0325901,down,0.37uM,THP1,24H,0.18315448
56,CPD003_MCF7_24H_M02_gemcitabine_10uM down,gemcitabine,down,10uM,MCF7,24H,0.18251613
57,ASG002_BICR6_24H_P17_palbociclib_1.11uM down,palbociclib,down,1.11uM,BICR6,24H,0.1825122
58,CPC011_VCAP_24H_M08_levonorgestrel_10uM down,levonorgestrel,down,10uM,VCAP,24H,0.1824372
59,LJP008_THP1_24H_O02_PD-0325901_3.33uM down,PD-0325901,down,3.33uM,THP1,24H,0.18241057
60,REP.B016_JURKAT_24H_E01_R-547_2.22uM down,R-547,down,2.22uM,JURKAT,24H,0.18214859
61,CRCGN007_HEPG2_24H_O04_mitoxantrone_0.74uM down,mitoxantrone,down,0.74uM,HEPG2,24H,0.18211381
62,DOSVAL004_A375_24H_G06_BRD-K93830491_4uM down,BRD-K93830491,down,4uM,A375,24H,0.18099184
63,ASG003_XC.P915_24H_K16_palbociclib_10uM down,palbociclib,down,10uM,XC.P915,24H,0.18098783
64,DOS011_VCAP_24H_M13_sirolimus_10uM down,sirolimus,down,10uM,VCAP,24H,0.18089475
65,ASG003_XC.P915_24H_K17_palbociclib_1.11uM down,palbociclib,down,1.11uM,XC.P915,24H,0.18081632
66,REP.B016_HT29_24H_A19_palbociclib_2.22uM down,palbociclib,down,2.22uM,HT29,24H,0.18076015
67,PRISM001_A375_24H_M07_GSK-1070916_4uM down,GSK-1070916,down,4uM,A375,24H,0.18057264
68,MUC.CP002_NKDBA_24H_C05_SA-1919710_10uM down,SA-1919710,down,10uM,NKDBA,24H,0.18005262
69,CPC011_VCAP_24H_I04_nandrolone_10uM down,nandrolone,down,10uM,VCAP,24H,0.18001609
70,ERG005_VCAP_24H_J05_estradiol_4uM down,estradiol,down,4uM,VCAP,24H,0.17959419
71,LJP009_JURKAT_24H_D03_PF-03758309_1.11uM down,PF-03758309,down,1.11uM,JURKAT,24H,0.17941865
72,REP.B016_HT29_24H_A20_palbociclib_0.74uM down,palbociclib,down,0.74uM,HT29,24H,0.17906474
73,ASG003_XC.P907_24H_K17_palbociclib_1.11uM down,palbociclib,down,1.11uM,XC.P907,24H,0.17890643
74,MOAR009_HEC108_24H_C10_nutlin-3_10uM down,nutlin-3,down,10uM,HEC108,24H,0.17867607
75,REP.A011_A549_24H_N07_PF-04691502_10uM down,PF-04691502,down,10uM,A549,24H,0.17863306
76,REP.A016_A549_24H_A19_palbociclib_10uM down,palbociclib,down,10uM,A549,24H,0.17842105
77,ASG003_XC.P932_24H_K17_palbociclib_1.11uM down,palbociclib,down,1.11uM,XC.P932,24H,0.17820403
78,DPK.CP002_MCF7_24H_E04_fulvestrant_10uM down,fulvestrant,down,10uM,MCF7,24H,0.17754215
79,ASG003_XC.P908_24H_K18_palbociclib_0.12uM down,palbociclib,down,0.12uM,XC.P908,24H,0.17715661
80,REP.B023_HUVEC.A_24H_D07_amsacrine_2.22uM down,amsacrine,down,2.22uM,HUVEC.A,24H,0.17709425
81,MUC.CP002_NKDBA_24H_E08_TWS-119_4uM down,TWS-119,down,4uM,NKDBA,24H,0.1768595
82,AICHI002_SKMEL5_24H_E13_BRD-K30520487_10uM down,BRD-K30520487,down,10uM,SKMEL5,24H,0.17646559
83,HOG003_A549_24H_K19_idarubicin_0.04uM down,idarubicin,down,0.04uM,A549,24H,0.17636177
84,REP.B001_A549_24H_I01_PKI-179_2.22uM down,PKI-179,down,2.22uM,A549,24H,0.1761855
85,AICHI001_SKMEL5_24H_K12_mitoxantrone_0.01uM down,mitoxantrone,down,0.01uM,SKMEL5,24H,0.17599195
86,CRCGN007_HEPG2_24H_O05_mitoxantrone_0.25uM down,mitoxantrone,down,0.25uM,HEPG2,24H,0.17585015
87,ASG003_XC.P092_24H_K16_palbociclib_10uM down,palbociclib,down,10uM,XC.P092,24H,0.17576018
88,LJP009_JURKAT_24H_D02_PF-03758309_3.33uM down,PF-03758309,down,3.33uM,JURKAT,24H,0.1749638
89,DOS012_VCAP_24H_M13_sirolimus_10uM down,sirolimus,down,10uM,VCAP,24H,0.17448178
90,MOAR010_MELHO_24H_K09_SAR405838_1.11uM down,SAR405838,down,1.11uM,MELHO,24H,0.17346112
91,REP.B022_A375_24H_L19_ENMD-2076_2.22uM down,ENMD-2076,down,2.22uM,A375,24H,0.17331704
92,CPC003_PC3_24H_O11_CGP-71683_10uM down,CGP-71683,down,10uM,PC3,24H,0.1732289
93,ERG017_VCAP_24H_C09_BRD-K81665681_10uM down,BRD-K81665681,down,10uM,VCAP,24H,0.17288703
94,REP.A004_A549_24H_E14_KPT-330_3.33uM down,KPT-330,down,3.33uM,A549,24H,0.17285766
95,CPC002_PC3_24H_J13_aminopurvalanol-a_10uM down,aminopurvalanol-a,down,10uM,PC3,24H,0.17277826
96,DOSBIO002_MCF7_24H_E05_fulvestrant_10uM down,fulvestrant,down,10uM,MCF7,24H,0.1724494
97,ASG003_XC.P908_24H_K16_palbociclib_10uM down,palbociclib,down,10uM,XC.P908,24H,0.17162195
98,LJP008_THP1_24H_O01_PD-0325901_10uM down,PD-0325901,down,10uM,THP1,24H,0.17159274
99,REP.B022_MDAMB231_24H_D14_BRD-K68552125_0.66uM down,BRD-K68552125,down,0.66uM,MDAMB231,24H,0.17141865
100,ERG017_VCAP_24H_A11_BRD-K54756845_10uM down,BRD-K54756845,down,10uM,VCAP,24H,0.1714032
101,REP.A004_MCF7_24H_E15_KPT-330_1.11uM down,KPT-330,down,1.11uM,MCF7,24H,0.1713265
102,LGR001_XC.L100.M_24H_B15_palbociclib_1.11uM down,palbociclib,down,1.11uM,XC.L100.M,24H,0.1713158
103,REP.B001_PC3_24H_I02_PKI-179_0.74uM down,PKI-179,down,0.74uM,PC3,24H,0.17058067
104,REP.A023_MCF10A_24H_G20_ibrutinib_3.33uM down,ibrutinib,down,3.33uM,MCF10A,24H,0.17011338
105,ASG003_XC.P031_24H_K17_palbociclib_1.11uM down,palbociclib,down,1.11uM,XC.P031,24H,0.17010571
106,MOA001_A549_24H_C16_NVP-BEZ235_3.33uM down,NVP-BEZ235,down,3.33uM,A549,24H,0.16984144
107,REP.A016_MCF10A_24H_D23_BIIB-021_0.125uM down,BIIB-021,down,0.125uM,MCF10A,24H,0.16978775
108,AICHI001_SKMEL5_24H_K10_mitoxantrone_0.125uM down,mitoxantrone,down,0.125uM,SKMEL5,24H,0.16973169
109,REP.B004_A375_24H_J07_voreloxin_2.22uM down,voreloxin,down,2.22uM,A375,24H,0.16957082
110,HOG003_A549_24H_A14_wortmannin_10uM down,wortmannin,down,10uM,A549,24H,0.16895182
111,DOS011_VCAP_24H_I05_LY-294002_10uM down,LY-294002,down,10uM,VCAP,24H,0.16886586
112,ASG003_XC.P911_24H_K17_palbociclib_1.11uM down,palbociclib,down,1.11uM,XC.P911,24H,0.16872013
113,ASG003_XC.P933_24H_K16_palbociclib_10uM down,palbociclib,down,10uM,XC.P933,24H,0.16841128
114,CRCGN006_HEPG2_24H_K07_wortmannin_10uM down,wortmannin,down,10uM,HEPG2,24H,0.16820563
115,ASG002_IM95_24H_C13_nutlin-3_10uM down,nutlin-3,down,10uM,IM95,24H,0.1681245
116,MOAR001_PC3_24H_D17_NVP-TAE684_3.33uM down,NVP-TAE684,down,3.33uM,PC3,24H,0.16802824
117,PBIOA013_A375_24H_O07_etoposide_10uM down,etoposide,down,10uM,A375,24H,0.16793086
118,ASG003_XC.P906_24H_K17_palbociclib_1.11uM down,palbociclib,down,1.11uM,XC.P906,24H,0.16784683
119,REP.B013_THP1_24H_J01_KW-2478_2.22uM down,KW-2478,down,2.22uM,THP1,24H,0.1676694
120,REP.B012_HUVEC.A_24H_O20_cobimetinib_0.74uM down,cobimetinib,down,0.74uM,HUVEC.A,24H,0.16765712
121,AICHI001_TMD8_24H_A13_GSK-2110183_10uM down,GSK-2110183,down,10uM,TMD8,24H,0.16730362
122,CPC005_A549_24H_A04_wortmannin_10uM down,wortmannin,down,10uM,A549,24H,0.1672131
123,REP.A016_A375_24H_E03_R-547_1.11uM down,R-547,down,1.11uM,A375,24H,0.16706876
124,REP.B017_THP1_24H_I10_Ro-4987655_0.08uM down,Ro-4987655,down,0.08uM,THP1,24H,0.16705343
125,ERG005_VCAP_24H_K07_LY-294002_20uM down,LY-294002,down,20uM,VCAP,24H,0.16696355
126,MOA001_A549_24H_D15_NVP-BEZ235_1.11uM down,NVP-BEZ235,down,1.11uM,A549,24H,0.16692679
127,REP.B023_HUVEC.A_24H_D08_amsacrine_0.74uM down,amsacrine,down,0.74uM,HUVEC.A,24H,0.16689064
128,DOSBIO002_MCF7_24H_C21_BRD-K74316684_10uM down,BRD-K74316684,down,10uM,MCF7,24H,0.16673093
129,REP.B004_A375_24H_K19_KW-2449_2.22uM down,KW-2449,down,2.22uM,A375,24H,0.16665463
130,PBIOA013_A375_24H_O09_etoposide_1.11uM down,etoposide,down,1.11uM,A375,24H,0.16651998
131,REP.A011_A549_24H_N09_PF-04691502_1.11uM down,PF-04691502,down,1.11uM,A549,24H,0.1664147
132,CPD003_MCF7_24H_M05_raloxifene_10uM down,raloxifene,down,10uM,MCF7,24H,0.16639918
133,REP.B016_MDAMB231_24H_A19_palbociclib_2.22uM down,palbociclib,down,2.22uM,MDAMB231,24H,0.16638616
134,REP.A026_YAPC_24H_M19_hexachlorophene_10uM down,hexachlorophene,down,10uM,YAPC,24H,0.16618465
135,ASG003_XC.P904_24H_K17_palbociclib_1.11uM down,palbociclib,down,1.11uM,XC.P904,24H,0.1659878
136,CPD003_MCF7_24H_P21_pyrvinium_10uM down,pyrvinium,down,10uM,MCF7,24H,0.16571252
137,REP.B012_HUVEC.A_24H_P19_foretinib_2.22uM down,foretinib,down,2.22uM,HUVEC.A,24H,0.16537185
138,ASG003_XC.P932_24H_K16_palbociclib_10uM down,palbociclib,down,10uM,XC.P932,24H,0.16515033
139,REP.A010_A375_24H_D13_CX-5461_10uM down,CX-5461,down,10uM,A375,24H,0.16497546
140,LJP001_BT20_24H_N09_palbociclib_0.37uM down,palbociclib,down,0.37uM,BT20,24H,0.16490248
141,CVD001_HEPG2_24H_I17_U-0126_12.5uM down,U-0126,down,12.5uM,HEPG2,24H,0.16484678
142,REP.A025_THP1_24H_M07_menadione_10uM down,menadione,down,10uM,THP1,24H,0.16472985
143,ASG003_XC.P092_24H_K17_palbociclib_1.11uM down,palbociclib,down,1.11uM,XC.P092,24H,0.164725
144,REP.A016_MDAMB231_24H_A21_palbociclib_1.11uM down,palbociclib,down,1.11uM,MDAMB231,24H,0.16447154
145,REP.A016_A375_24H_A19_palbociclib_10uM down,palbociclib,down,10uM,A375,24H,0.16418217
146,REP.A004_A549_24H_E15_KPT-330_1.11uM down,KPT-330,down,1.11uM,A549,24H,0.16352472
147,ASG003_XC.P905_24H_K17_palbociclib_1.11uM down,palbociclib,down,1.11uM,XC.P905,24H,0.1635163
148,CRCGN006_A549_24H_O04_mitoxantrone_0.74uM down,mitoxantrone,down,0.74uM,A549,24H,0.16350394
149,LJP008_THP1_24H_O06_PD-0325901_0.04uM down,PD-0325901,down,0.04uM,THP1,24H,0.16336477
150,MOAR001_PC3_24H_O16_AZD-7762_10uM down,AZD-7762,down,10uM,PC3,24H,0.16329959
151,ASG003_XC.P914_24H_K17_palbociclib_1.11uM down,palbociclib,down,1.11uM,XC.P914,24H,0.16329956
152,REP.A005_A549_24H_G21_TAS-103_1.11uM down,TAS-103,down,1.11uM,A549,24H,0.16309306
153,CPC011_VCAP_24H_H15_oxymetholone_10uM down,oxymetholone,down,10uM,VCAP,24H,0.16308898
154,LGR001_XC.L100.H_48H_B13_palbociclib_10uM down,palbociclib,down,10uM,XC.L100.H,48H,0.16284959
155,REP.B012_MCF7_24H_O11_fulvestrant_0.03uM down,fulvestrant,down,0.03uM,MCF7,24H,0.16281772
156,MUC.CP002_NKDBA_24H_O09_SA-1460192_10uM down,SA-1460192,down,10uM,NKDBA,24H,0.16268146
157,CVD001_HEPG2_24H_N19_SIB-1893_2.5uM down,SIB-1893,down,2.5uM,HEPG2,24H,0.16265714
158,REP.A013_THP1_24H_J02_KW-2478_3.33uM down,KW-2478,down,3.33uM,THP1,24H,0.16255975
159,ASG003_XC.P033_24H_K16_palbociclib_10uM down,palbociclib,down,10uM,XC.P033,24H,0.16235767
160,REP.A012_THP1_24H_O20_cobimetinib_3.33uM down,cobimetinib,down,3.33uM,THP1,24H,0.16186586
161,REP.A016_MDAMB231_24H_E03_R-547_1.11uM down,R-547,down,1.11uM,MDAMB231,24H,0.1618105
162,MOAR009_MELHO_24H_C10_nutlin-3_10uM down,nutlin-3,down,10uM,MELHO,24H,0.16165307
163,PBIOA013_A375_24H_O08_etoposide_3.33uM down,etoposide,down,3.33uM,A375,24H,0.1615959
164,REP.A014_PC3_24H_J03_PHA-848125_1.11uM down,PHA-848125,down,1.11uM,PC3,24H,0.16153227
165,MOAR008_OVTOKO_24H_L07_HLI-373_10uM down,HLI-373,down,10uM,OVTOKO,24H,0.16150405
166,ERG003_VCAP_24H_J05_BRD-K34394296_30uM down,BRD-K34394296,down,30uM,VCAP,24H,0.16145162
167,ASG002_JHH7_24H_P16_palbociclib_10uM down,palbociclib,down,10uM,JHH7,24H,0.16128227
168,REP.A006_PC3_24H_N20_GDC-0980_3.33uM down,GDC-0980,down,3.33uM,PC3,24H,0.16126314
169,REP.A014_YAPC_24H_B13_AP-26113_10uM down,AP-26113,down,10uM,YAPC,24H,0.161125
170,ASG003_XC.P932_24H_B05_R-547_1.11uM down,R-547,down,1.11uM,XC.P932,24H,0.16104046
171,REP.A016_MCF10A_24H_D22_BIIB-021_0.37uM down,BIIB-021,down,0.37uM,MCF10A,24H,0.16028738
172,PAC068_U2OS_6H_G05_BRD-K78192025_10uM down,BRD-K78192025,down,10uM,U2OS,6H,0.16004452
173,CPC006_MCF7_24H_L24_C-646_20uM down,C-646,down,20uM,MCF7,24H,0.1599877
174,AICHI001_OCILY3_24H_K09_mitoxantrone_0.66uM down,mitoxantrone,down,0.66uM,OCILY3,24H,0.1598755
175,PRISM001_A375_24H_M05_GSK-1070916_10uM down,GSK-1070916,down,10uM,A375,24H,0.15973392
176,REP.B005_A375_24H_G21_TAS-103_0.25uM down,TAS-103,down,0.25uM,A375,24H,0.15954792
177,MOAR010_A204_24H_K09_SAR405838_1.11uM down,SAR405838,down,1.11uM,A204,24H,0.15936683
178,CPC001_VCAP_24H_E11_PI-828_10uM down,PI-828,down,10uM,VCAP,24H,0.15926613
179,REP.A012_MCF10A_24H_O20_cobimetinib_3.33uM down,cobimetinib,down,3.33uM,MCF10A,24H,0.15895961
180,ASG003_XC.P911_24H_B05_R-547_1.11uM down,R-547,down,1.11uM,XC.P911,24H,0.15893438
181,MOA001_A549_24H_D16_NVP-BEZ235_0.37uM down,NVP-BEZ235,down,0.37uM,A549,24H,0.15870845
182,REP.B012_HUVEC.A_24H_O19_cobimetinib_2.22uM down,cobimetinib,down,2.22uM,HUVEC.A,24H,0.15860489
183,REP.A023_MCF10A_24H_G19_ibrutinib_10uM down,ibrutinib,down,10uM,MCF10A,24H,0.15859185
184,MOAR003_PC3_24H_J10_AZD-3463_10uM down,AZD-3463,down,10uM,PC3,24H,0.15850607
185,REP.A010_A375_24H_D16_CX-5461_0.37uM down,CX-5461,down,0.37uM,A375,24H,0.1584899
186,REP.B023_HUVEC.A_24H_O13_valrubicin_2.22uM down,valrubicin,down,2.22uM,HUVEC.A,24H,0.15832259
187,CPC015_MCF7_24H_F13_amsacrine_10uM down,amsacrine,down,10uM,MCF7,24H,0.15815915
188,MOA001_A549_24H_C15_NVP-BEZ235_10uM down,NVP-BEZ235,down,10uM,A549,24H,0.15810117
189,LJP001_BT20_24H_M13_PHA-793887_10uM down,PHA-793887,down,10uM,BT20,24H,0.15764463
190,REP.A018_A549_24H_J19_AMG-232_10uM down,AMG-232,down,10uM,A549,24H,0.15764369
191,REP.B026_MCF7_24H_L22_doxorubicin_0.08uM down,doxorubicin,down,0.08uM,MCF7,24H,0.15762599
192,REP.B016_HT29_24H_A21_palbociclib_0.25uM down,palbociclib,down,0.25uM,HT29,24H,0.15736844
193,CPC010_MCF7_24H_I12_BRD-K78385490_10uM down,BRD-K78385490,down,10uM,MCF7,24H,0.15729834
194,ASG003_XC.P906_24H_K18_palbociclib_0.12uM down,palbociclib,down,0.12uM,XC.P906,24H,0.15720883
195,ASG003_XC.P935_24H_K16_palbociclib_10uM down,palbociclib,down,10uM,XC.P935,24H,0.15718062
196,FIBR027_MCLF130CN_6H_G14_CD-437_0.74uM down,CD-437,down,0.74uM,MCLF130CN,6H,0.15690686
197,ASG002_HEC108_24H_B11_AMG-232_1.11uM down,AMG-232,down,1.11uM,HEC108,24H,0.15685943
198,REP.A009_THP1_24H_G21_TAK-733_1.11uM down,TAK-733,down,1.11uM,THP1,24H,0.15683132
199,CPC011_VCAP_24H_I06_taxifolin_10uM down,taxifolin,down,10uM,VCAP,24H,0.15662643
200,PBIOA016_HEPG2_24H_D07_NVP-BEZ235_10uM down,NVP-BEZ235,down,10uM,HEPG2,24H,0.15660247
201,REP.B017_THP1_24H_I08_Ro-4987655_0.74uM down,Ro-4987655,down,0.74uM,THP1,24H,0.15651426
202,REP.A017_MCF10A_24H_I11_Ro-4987655_0.125uM down,Ro-4987655,down,0.125uM,MCF10A,24H,0.15647367
203,AICHI002_SKMEL5_24H_O01_wortmannin_10uM down,wortmannin,down,10uM,SKMEL5,24H,0.15641363
204,LJP006_BT20_24H_E20_PHA-793887_3.33uM down,PHA-793887,down,3.33uM,BT20,24H,0.15638056
205,ASG003_XC.P904_24H_K16_palbociclib_10uM down,palbociclib,down,10uM,XC.P904,24H,0.15626721
206,REP.A006_HT29_24H_B19_darapladib_10uM down,darapladib,down,10uM,HT29,24H,0.15624095
207,MOAR004_A375_24H_K22_palbociclib_10uM down,palbociclib,down,10uM,A375,24H,0.15615915
208,REP.B016_PC3_24H_E02_R-547_0.74uM down,R-547,down,0.74uM,PC3,24H,0.15587091
209,REP.B016_MDAMB231_24H_E02_R-547_0.74uM down,R-547,down,0.74uM,MDAMB231,24H,0.1555301
210,ERBB2001_VMCUB1_24H_P04_AZD-9291_10uM down,AZD-9291,down,10uM,VMCUB1,24H,0.1554736
211,CPC005_MCF7_24H_G20_etoposide_10uM down,etoposide,down,10uM,MCF7,24H,0.15541129
212,PAC059_U2OS_6H_L06_SA-1460192_10uM down,SA-1460192,down,10uM,U2OS,6H,0.15535888
213,FIBR007_MCLF051CN_6H_D09_pyrvinium-pamoate_2.22uM down,pyrvinium-pamoate,down,2.22uM,MCLF051CN,6H,0.1552204
214,REP.A014_YAPC_24H_J04_PHA-848125_0.37uM down,PHA-848125,down,0.37uM,YAPC,24H,0.15514168
215,KMS002_NOMO1_24H_I03_BRD-K49010888_10uM down,BRD-K49010888,down,10uM,NOMO1,24H,0.155132
216,REP.B023_A375_24H_O13_valrubicin_2.22uM down,valrubicin,down,2.22uM,A375,24H,0.15504877
217,AICHI002_MINO_24H_E14_BRD-K30520487_2.5uM down,BRD-K30520487,down,2.5uM,MINO,24H,0.15494354
218,PBIOA021_MCF7_24H_N01_BMS-536924_12uM down,BMS-536924,down,12uM,MCF7,24H,0.15470281
219,CPC010_MCF7_24H_C21_azauridine_10uM down,azauridine,down,10uM,MCF7,24H,0.15455918
220,ASG003_MCF7_48H_K16_palbociclib_10uM down,palbociclib,down,10uM,MCF7,48H,0.15439758
221,CRCGN006_HEPG2_24H_K09_wortmannin_2.22uM down,wortmannin,down,2.22uM,HEPG2,24H,0.15437345
222,REP.B016_PC3_24H_L23_benzylpenicillin_0.03uM down,benzylpenicillin,down,0.03uM,PC3,24H,0.15416527
223,CPC003_PC3_24H_D17_malonoben_10uM down,malonoben,down,10uM,PC3,24H,0.15393147
224,REP.B008_THP1_24H_P03_AS-703026_0.25uM down,AS-703026,down,0.25uM,THP1,24H,0.15378688
225,REP.A016_MCF7_24H_A19_palbociclib_10uM down,palbociclib,down,10uM,MCF7,24H,0.15374088
226,KMS002_NOMO1_24H_I05_BRD-K49010888_1.11uM down,BRD-K49010888,down,1.11uM,NOMO1,24H,0.15373996
227,REP.A004_A549_24H_E13_KPT-330_10uM down,KPT-330,down,10uM,A549,24H,0.15362036
228,KMS002_NOMO1_24H_I04_BRD-K49010888_3.33uM down,BRD-K49010888,down,3.33uM,NOMO1,24H,0.15357995
229,CPC006_HCC515_24H_I05_ingenol_10uM down,ingenol,down,10uM,HCC515,24H,0.15356967
230,PAC058_U2OS_6H_M12_BRD-K21904592_10uM down,BRD-K21904592,down,10uM,U2OS,6H,0.15353657
231,DOSBIO001_MCF7_24H_N01_BRD-K69894866_10uM down,BRD-K69894866,down,10uM,MCF7,24H,0.15281476
232,REP.A025_YAPC_24H_I07_etravirine_10uM down,etravirine,down,10uM,YAPC,24H,0.15273787
233,MOAR017_HAP1.PRKCQ_24H_J15_PHA-848125_3.33uM down,PHA-848125,down,3.33uM,HAP1.PRKCQ,24H,0.15272468
234,ASG002_ES2_24H_P16_palbociclib_10uM down,palbociclib,down,10uM,ES2,24H,0.15256734
